"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 18 06:49:35 UTC 2024","Tue Jun 18 06:53:45 UTC 2024","250292","","18. Check Admin header","","","","2. Check Navbar",""
"broken","Tue Jun 18 06:26:12 UTC 2024","Tue Jun 18 06:26:12 UTC 2024","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"skipped","Tue Jun 18 08:26:36 UTC 2024","Tue Jun 18 08:26:36 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Jun 18 06:43:27 UTC 2024","Tue Jun 18 06:43:38 UTC 2024","10293","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Jun 18 06:56:09 UTC 2024","Tue Jun 18 06:56:19 UTC 2024","9788","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Tue Jun 18 06:05:21 UTC 2024","Tue Jun 18 06:05:39 UTC 2024","17651","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Tue Jun 18 07:29:58 UTC 2024","Tue Jun 18 07:30:05 UTC 2024","7554","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Tue Jun 18 06:08:11 UTC 2024","Tue Jun 18 06:08:16 UTC 2024","4917","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"failed","Tue Jun 18 06:30:01 UTC 2024","Tue Jun 18 06:30:20 UTC 2024","19015","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"skipped","Tue Jun 18 06:26:12 UTC 2024","Tue Jun 18 06:26:12 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"skipped","Tue Jun 18 06:26:12 UTC 2024","Tue Jun 18 06:26:12 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"skipped","Tue Jun 18 06:26:12 UTC 2024","Tue Jun 18 06:26:12 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Jun 18 06:08:16 UTC 2024","Tue Jun 18 06:08:17 UTC 2024","1477","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"skipped","Tue Jun 18 08:26:36 UTC 2024","Tue Jun 18 08:26:36 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Tue Jun 18 06:43:50 UTC 2024","Tue Jun 18 06:44:00 UTC 2024","10098","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Tue Jun 18 06:05:39 UTC 2024","Tue Jun 18 06:05:55 UTC 2024","16673","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"skipped","Tue Jun 18 06:03:22 UTC 2024","Tue Jun 18 06:03:22 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Tue Jun 18 06:08:09 UTC 2024","Tue Jun 18 06:08:11 UTC 2024","1402","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Tue Jun 18 06:56:21 UTC 2024","Tue Jun 18 06:56:26 UTC 2024","4242","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"skipped","Tue Jun 18 08:26:36 UTC 2024","Tue Jun 18 08:26:36 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"skipped","Tue Jun 18 06:03:22 UTC 2024","Tue Jun 18 06:03:22 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"failed","Tue Jun 18 06:44:25 UTC 2024","Tue Jun 18 06:46:57 UTC 2024","152113","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Tue Jun 18 06:05:55 UTC 2024","Tue Jun 18 06:05:56 UTC 2024","263","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"skipped","Tue Jun 18 08:26:36 UTC 2024","Tue Jun 18 08:26:36 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Jun 18 06:43:46 UTC 2024","Tue Jun 18 06:43:50 UTC 2024","4633","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"broken","Tue Jun 18 06:03:22 UTC 2024","Tue Jun 18 06:03:22 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Tue Jun 18 06:44:02 UTC 2024","Tue Jun 18 06:44:14 UTC 2024","12189","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Tue Jun 18 07:30:05 UTC 2024","Tue Jun 18 07:30:42 UTC 2024","36955","","21. Forgot password function","","","","2. Reset password",""
"skipped","Tue Jun 18 06:03:22 UTC 2024","Tue Jun 18 06:03:22 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
